day,month,year,dn_1,dn_2,dn_3,dn_4,dn_5,grand_number
11,7,2019,9,15,21,36,43,1
8,7,2019,2,20,27,34,37,2
4,7,2019,8,30,31,39,41,7
1,7,2019,16,18,34,36,46,1
27,6,2019,6,33,36,42,43,3
24,6,2019,9,25,31,34,36,2
20,6,2019,7,20,22,38,46,7
17,6,2019,4,6,8,13,47,3
13,6,2019,1,7,18,26,28,6
10,6,2019,17,18,31,35,48,6
6,6,2019,9,26,36,46,49,7
3,6,2019,6,22,30,32,34,2
30,5,2019,13,18,32,34,38,5
27,5,2019,1,4,12,19,21,1
23,5,2019,10,15,22,41,47,6
20,5,2019,1,17,30,31,49,5
16,5,2019,13,15,37,43,49,6
13,5,2019,6,7,11,23,25,7
9,5,2019,1,3,10,19,27,3
6,5,2019,3,24,29,36,43,3
2,5,2019,7,8,24,38,39,3
29,4,2019,3,11,36,41,48,1
25,4,2019,8,9,30,36,39,1
22,4,2019,5,17,19,30,44,6
18,4,2019,19,34,36,44,49,5
15,4,2019,1,3,7,26,29,7
11,4,2019,11,19,20,29,39,5
8,4,2019,14,16,17,37,48,5
4,4,2019,4,29,35,38,47,3
1,4,2019,2,24,30,38,48,1
28,3,2019,11,12,14,15,22,3
25,3,2019,2,4,8,41,47,3
21,3,2019,15,19,30,34,49,1
18,3,2019,1,7,11,37,47,5
14,3,2019,3,13,18,29,46,1
11,3,2019,7,10,25,30,47,5
7,3,2019,12,14,15,29,30,5
4,3,2019,1,9,21,31,39,7
28,2,2019,4,21,29,30,35,3
25,2,2019,2,18,26,37,48,5
21,2,2019,1,9,11,32,41,7
18,2,2019,7,9,14,25,46,1
14,2,2019,1,5,10,33,48,2
11,2,2019,14,23,41,46,47,5
7,2,2019,13,22,32,34,46,5
4,2,2019,3,15,16,42,45,5
31,1,2019,21,25,37,40,42,6
28,1,2019,7,19,27,33,35,1
24,1,2019,1,5,6,15,31,4
21,1,2019,8,9,18,43,48,2
17,1,2019,9,14,17,18,41,2
14,1,2019,2,25,33,39,40,2
10,1,2019,7,9,13,19,29,7
7,1,2019,2,7,8,28,31,2
3,1,2019,2,4,12,17,37,6
31,12,2018,3,20,38,42,46,3
27,12,2018,3,22,25,27,41,2
24,12,2018,7,19,20,21,48,5
20,12,2018,13,24,26,32,42,1
17,12,2018,14,17,29,40,46,7
13,12,2018,4,20,28,34,49,4
10,12,2018,5,11,15,34,40,3
6,12,2018,4,30,31,35,45,6
3,12,2018,1,4,13,17,49,6
29,11,2018,4,15,19,23,48,5
26,11,2018,8,26,28,37,47,1
22,11,2018,4,24,25,29,42,7
19,11,2018,29,31,35,36,46,5
15,11,2018,13,27,38,42,49,1
12,11,2018,2,13,18,19,43,2
8,11,2018,6,7,29,33,35,3
5,11,2018,4,27,34,40,42,1
1,11,2018,2,3,5,17,39,7
29,10,2018,8,11,12,13,23,3
25,10,2018,5,11,14,16,39,7
22,10,2018,10,11,33,40,42,5
18,10,2018,2,23,29,32,48,3
15,10,2018,10,18,24,37,39,1
11,10,2018,1,11,25,26,39,6
8,10,2018,1,13,24,41,42,4
4,10,2018,2,14,39,46,49,3
1,10,2018,7,25,28,45,49,4
27,9,2018,3,9,12,21,47,3
24,9,2018,14,25,27,28,43,4
20,9,2018,3,10,15,23,48,2
17,9,2018,4,15,20,24,48,5
13,9,2018,1,11,25,29,46,7
10,9,2018,3,29,31,43,48,7
6,9,2018,4,8,20,22,49,6
3,9,2018,13,26,36,39,49,1
30,8,2018,25,28,35,39,48,5
27,8,2018,7,15,23,31,48,4
23,8,2018,5,11,16,24,42,4
20,8,2018,8,12,18,35,40,2
16,8,2018,8,9,25,31,41,2
13,8,2018,5,9,30,31,47,7
9,8,2018,2,15,21,32,34,3
6,8,2018,11,29,31,34,38,7
2,8,2018,6,9,22,32,38,7
30,7,2018,15,17,30,44,47,6
26,7,2018,32,34,43,44,46,6
23,7,2018,19,32,38,44,48,2
19,7,2018,27,31,36,38,39,6
16,7,2018,5,11,27,34,46,1
12,7,2018,1,2,32,36,39,4
9,7,2018,13,26,41,42,47,2
5,7,2018,14,20,27,40,41,2
2,7,2018,5,18,23,39,42,3
28,6,2018,6,39,40,48,49,4
25,6,2018,12,20,30,43,46,2
21,6,2018,13,28,30,31,43,7
18,6,2018,1,16,31,44,48,2
14,6,2018,1,19,33,41,47,1
11,6,2018,1,12,19,26,35,7
7,6,2018,2,3,4,40,47,1
4,6,2018,1,5,11,30,38,5
31,5,2018,2,9,41,45,48,1
28,5,2018,14,28,29,42,48,5
24,5,2018,18,26,38,43,49,7
21,5,2018,6,8,22,30,38,6
17,5,2018,1,5,18,42,46,3
14,5,2018,3,7,11,13,25,1
10,5,2018,4,16,25,34,39,4
7,5,2018,1,36,39,45,49,6
3,5,2018,1,4,29,38,47,5
30,4,2018,7,24,25,35,37,2
26,4,2018,6,14,22,26,35,7
23,4,2018,13,20,21,37,38,3
19,4,2018,13,21,24,26,43,1
16,4,2018,14,17,32,38,49,7
12,4,2018,31,38,40,41,44,5
9,4,2018,2,9,34,41,43,1
5,4,2018,5,8,13,18,47,4
2,4,2018,22,25,44,45,48,6
29,3,2018,14,17,29,36,43,1
26,3,2018,14,22,26,36,45,7
22,3,2018,3,9,18,19,22,2
19,3,2018,6,30,34,46,49,4
15,3,2018,9,10,14,23,44,6
12,3,2018,4,17,23,24,32,4
8,3,2018,11,17,38,43,49,1
5,3,2018,12,21,29,33,35,3
1,3,2018,1,15,24,31,42,1
26,2,2018,3,35,40,45,48,1
22,2,2018,14,20,24,26,32,1
19,2,2018,2,8,26,43,45,5
15,2,2018,2,6,12,32,43,1
12,2,2018,17,21,34,42,44,3
8,2,2018,12,15,22,34,49,3
5,2,2018,6,15,25,32,46,1
1,2,2018,4,7,17,25,41,7
29,1,2018,7,16,27,34,38,3
25,1,2018,15,22,27,32,44,1
22,1,2018,6,26,27,43,44,7
18,1,2018,5,30,33,36,48,2
15,1,2018,4,10,20,37,41,3
11,1,2018,1,11,24,35,38,2
8,1,2018,4,10,38,43,46,3
4,1,2018,3,4,11,30,37,6
1,1,2018,26,29,36,40,45,1
28,12,2017,24,27,28,43,49,6
25,12,2017,8,11,16,40,46,4
21,12,2017,12,32,38,46,47,4
18,12,2017,13,19,27,33,41,1
14,12,2017,5,7,23,39,47,7
11,12,2017,17,19,20,37,47,6
7,12,2017,7,17,31,39,46,6
4,12,2017,12,26,31,37,45,4
30,11,2017,7,15,31,35,48,7
27,11,2017,6,9,25,33,34,1
23,11,2017,2,22,25,34,39,1
20,11,2017,3,10,13,30,34,4
16,11,2017,9,12,22,37,44,6
13,11,2017,32,37,38,41,42,2
9,11,2017,6,12,15,17,39,2
6,11,2017,4,18,22,38,48,2
2,11,2017,16,17,26,32,38,1
30,10,2017,16,27,32,34,45,2
26,10,2017,5,17,24,35,36,7
23,10,2017,5,14,22,34,40,4
19,10,2017,7,27,39,42,44,7
16,10,2017,2,32,39,40,42,7
12,10,2017,3,7,11,23,45,2
9,10,2017,13,27,35,39,43,7
5,10,2017,5,22,40,47,48,7
2,10,2017,2,12,14,35,45,3
28,9,2017,15,17,20,35,36,3
25,9,2017,19,28,30,34,39,5
21,9,2017,2,4,12,23,47,2
18,9,2017,1,2,7,8,19,5
14,9,2017,18,19,24,35,42,1
11,9,2017,3,10,23,37,39,3
7,9,2017,3,8,35,41,44,1
4,9,2017,3,5,34,41,45,3
31,8,2017,3,4,6,27,37,6
28,8,2017,17,21,22,28,44,1
24,8,2017,8,30,33,34,47,6
21,8,2017,6,20,21,32,33,2
17,8,2017,22,33,37,40,46,7
14,8,2017,2,5,9,15,33,5
10,8,2017,5,10,16,18,37,2
7,8,2017,2,3,27,35,49,7
3,8,2017,19,24,35,37,43,5
31,7,2017,10,13,26,32,33,4
27,7,2017,4,5,11,24,49,1
24,7,2017,21,32,33,39,46,2
20,7,2017,6,10,17,33,47,5
17,7,2017,8,10,26,28,35,2
13,7,2017,14,16,37,42,44,6
10,7,2017,14,18,39,42,49,2
6,7,2017,6,21,22,26,45,7
3,7,2017,1,3,7,13,42,2
29,6,2017,1,2,26,36,46,4
26,6,2017,20,25,39,44,46,3
22,6,2017,9,21,30,43,49,1
19,6,2017,7,12,25,36,49,2
15,6,2017,4,12,20,28,33,1
12,6,2017,19,23,45,47,48,3
8,6,2017,11,21,37,44,47,4
5,6,2017,6,21,23,29,45,2
1,6,2017,10,18,20,21,48,7
29,5,2017,4,13,16,36,49,2
25,5,2017,4,8,18,29,43,7
22,5,2017,15,18,27,30,45,1
18,5,2017,9,13,18,42,43,7
15,5,2017,1,35,39,45,46,4
11,5,2017,1,13,24,28,47,7
8,5,2017,7,25,26,37,48,3
4,5,2017,12,14,23,27,39,3
1,5,2017,5,15,19,34,41,6
27,4,2017,2,10,13,24,37,5
24,4,2017,8,15,36,40,47,5
20,4,2017,12,24,32,33,42,7
17,4,2017,9,17,20,43,48,1
13,4,2017,3,6,10,39,44,6
10,4,2017,1,25,33,37,41,5
6,4,2017,6,17,26,27,36,3
3,4,2017,3,5,6,29,33,4
30,3,2017,2,20,22,34,40,2
27,3,2017,10,14,20,29,33,2
23,3,2017,20,27,34,43,47,4
20,3,2017,3,4,5,35,42,6
16,3,2017,1,5,24,27,41,5
13,3,2017,4,25,31,38,42,2
9,3,2017,8,30,31,38,40,1
6,3,2017,6,10,13,28,47,5
2,3,2017,19,27,31,41,43,2
27,2,2017,4,8,14,22,34,1
23,2,2017,11,20,21,24,39,1
20,2,2017,8,12,14,16,44,1
16,2,2017,2,5,20,21,47,7
13,2,2017,7,15,23,30,47,1
9,2,2017,7,9,33,34,48,1
6,2,2017,4,42,46,47,48,7
2,2,2017,6,7,31,34,38,2
30,1,2017,16,19,32,35,44,3
26,1,2017,19,25,27,34,44,1
23,1,2017,10,31,40,42,46,2
19,1,2017,5,7,11,13,32,6
16,1,2017,3,19,24,37,46,6
12,1,2017,11,17,24,35,38,6
9,1,2017,21,26,27,30,47,1
5,1,2017,20,26,37,45,49,5
2,1,2017,6,25,26,42,47,3
29,12,2016,6,16,40,43,46,6
26,12,2016,5,18,26,42,45,4
22,12,2016,4,7,8,38,40,6
19,12,2016,3,9,10,13,25,4
15,12,2016,24,28,36,39,48,3
12,12,2016,6,7,10,14,33,5
8,12,2016,6,7,28,30,38,6
5,12,2016,16,24,29,37,40,3
1,12,2016,4,23,34,39,40,3
28,11,2016,2,14,30,34,43,7
24,11,2016,2,10,14,40,45,3
21,11,2016,17,23,28,30,48,5
17,11,2016,2,5,9,17,44,1
14,11,2016,8,12,17,23,29,3
10,11,2016,1,11,16,46,48,5
7,11,2016,10,21,23,30,32,5
3,11,2016,9,12,19,24,39,4
31,10,2016,3,14,25,30,45,2
27,10,2016,5,14,24,30,34,7
24,10,2016,8,9,28,36,48,1
20,10,2016,8,14,18,35,37,5
